問題文	答え	メモ	ジャンル
ネイルの中でも特に、爪先だけにホワイトカラーを施すものを何というでしょう？	フレンチネイル	仕事などで派手なネイルができない人に人気のネイル方法です。	
命題「AならばB」に対して、命題「BでないならばAでない」のことを何というでしょう？	対偶	元の命題とその対偶の真偽は一致します。	
元々は刀を鞘から抜くと同時に斬りかかることを指し、現在ではテストなどを予告なしに行うことを意味する言葉は何でしょう？	抜き打ち	「抜き打ちテスト」という使われ方が一般的ですね。	
故事成語「泣いて馬謖を斬る」において、馬謖を斬った人物は誰でしょう？	諸葛亮孔明	ミスを犯した馬謖のことを、彼を気に入っていた諸葛亮孔明が私情を挟まずに斬りつけたことから、「個人的な思い入れを捨てて、きちんと処罰を与えること」を意味します。	
山形県、鳥取県、長崎県の県の鳥に共通している、仲のよい夫婦のたとえにも用いられる鳥といえば何でしょう？	オシドリ	「オシドリ夫婦」という使われ方をします。漢字では「鴛鴦」と書きます。	
NFLのライオンズ、NHLのレッドウィングス、NBAのピストンズ、MLBのタイガースが共通して本拠地を置くアメリカの都市はどこでしょう?	デトロイト	ミシガン州最大の都市です。NFL(アメフト)、NHL(アイスホッケー)、NBA(バスケ)、MLB(野球)のことを「北米4大プロスポーツリーグ」といいます。	
ヘブライ語で「誰が神のようになれようか」という意味である、天使の大軍を率いて悪魔と戦ったとされる四大天使の一人は誰でしょう？	ミカエル	四大天使とはミカエル、ガブリエル、ラファエル、ウリエルのことです。	
化学式C20H24N2O2で表される、マラリアの特効薬として知られるアルカロイドのことを、これが単離された樹木の名前から何というでしょう？	キニーネ	キナの樹皮から単離されました。	
桂離宮を絶賛した逸話でも知られるドイツの建築家で、代表作に「鉄の記念塔」「ガラス・パヴィリオン」などがあるのは誰でしょう？	ブルーノ・タウト	桂離宮は京都にある17世紀に建てられた皇族の別邸です。	
「男もすなる、日記といふものを、女もしてみむとて、するなり」という書き出しで始まる紀貫之の紀行文は何でしょう？	土佐日記	書き出しクイズもよく出ます。以下のサイトを参考にしてください。	
元々は聖書に登場する贖罪のヤギのことで、現在では身代わりや生贄のことを指す言葉は何でしょう？	スケープゴート	心理学では、不満や憎悪を転嫁される対象という意味になります。	
ネックレスの中でも特に首にぴったりと巻きつけるタイプのものを、「窒息させるもの」という意味の英語から何というでしょう？	チョーカー	ネックレスはその長さによって「チョーカー」「プリンセス」「マチネ」「オペラ」「ロープ」といった名称がついています。	
